NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Mahipal Lomror,Uncapped All-Rounder,All-rounder,India,50 L,
Manav Suthar,Uncapped All-Rounder,Bowler,India,50 L,
Manimaran Siddharth,Uncapped Bowler,Batsman,India,50 L,
Manoj Bhandage,Uncapped All-Rounder,All-rounder,India,50 L,
Manvanth Kumar,Uncapped All-Rounder,All-rounder,India,50 L,
Matthew Potts,Uncapped Bowler,Batsman,England,50 L,
Mayank Dagar,Uncapped All-Rounder,All-rounder,India,50 L,
Mayank Rawat,Uncapped All-Rounder,All-rounder,India,50 L,
Michael Pepper,Uncapped Wicket-Keeper,Wicket-Keeper,England,50 L,
Mikyle Louis,Uncapped Batsman,Batsman,India,50 L,
Mohammed Azharuddeen,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
